%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565338411118547512,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411169036002,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411218830585,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411269212148,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411319323085,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411370251158,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411435917460,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411470805950,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411521665168,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411570765012,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411620943137,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411671238710,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411721140168,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411771280481,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411831539387,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411872381991,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411921976991,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338411972012460,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412021992147,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412072600585,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412122500793,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412191709283,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412234626314,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412273350689,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412324031418,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412374403762,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412425456939,-0.0,-0.0,0.0,0.0,0.0,0.0
1565338412474483449,-0.0,-0.0,0.0,0.0,0.0,0.0
