%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565344080523454985,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080574057902,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080623891183,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080674038683,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080724252329,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080774028839,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080824671131,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080875749256,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080925134620,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344080975557224,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081025598110,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081075891339,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081126052641,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081176346495,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081226316026,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081276697172,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081326554724,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081376661495,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081427417693,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081477894620,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081527238005,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081578630870,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081627833995,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081682983266,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081728124828,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081783165818,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081839586182,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081878913162,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081928584203,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344081978849984,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082030198526,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082079861911,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082129638266,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082185046599,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082230217797,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082281379255,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082330156703,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082380236911,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082430296703,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082495051703,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082558836807,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082587700609,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082631275713,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082681593526,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082732184828,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082782055349,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082832344255,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082882680974,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082932891755,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344082982585453,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083033045349,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083083150713,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083133776390,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083183767536,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083233383734,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083283690921,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083334008109,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083384125713,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083434190088,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083484587015,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083534895609,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083588735296,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083635268838,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083685418682,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083735714723,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083785533942,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083856201077,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083888028421,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083936075765,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344083986319463,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084036366077,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084086743734,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084139511963,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084187164619,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084236901754,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084287752848,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084337590400,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084387701077,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084438915400,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084489979358,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084538768994,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084588873265,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084639722067,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084689375400,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084739609358,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084789471129,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084839865088,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084889981233,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084941230817,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344084991720608,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085043584046,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085090217171,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085141964150,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085190830035,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085241211337,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085291032587,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085341624098,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085391383994,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085441392223,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085491712796,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085542893785,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085592467900,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085642372431,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085692817014,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085743973212,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085793005712,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085851355868,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085893550348,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085944343889,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344085993753941,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086043826806,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086112101858,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086144501597,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086206842535,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086244085243,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086294610660,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086344440295,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086394988524,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086444730191,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086494794306,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086545499826,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086596574879,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086645615608,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086698683003,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086746132326,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086796523837,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086846106597,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086896666024,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086947230035,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344086997377222,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087048406649,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087102267951,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087186567639,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087197852326,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087247873993,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087298392899,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087348263107,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087398338837,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087448695503,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087498623055,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087549054357,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087599216909,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087649113889,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087699548784,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087749690972,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087805412326,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087855976128,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087899992482,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344087950101649,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088000642899,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088050616284,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088105933263,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088180966128,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088201462742,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088252213732,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088301986701,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088351870920,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088402491024,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344088543561805,-0.717848360538,-0.0,0.0,0.0,0.0,0.0
1565344088646032690,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088696397846,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088748773836,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088796824357,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088849327065,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088896969305,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088961096076,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344088997153263,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344089098467898,-0.772107064724,-0.0,0.0,0.0,0.0,0.0
1565344089149108836,-0.772107064724,-0.0,0.0,0.0,0.0,0.0
1565344089199569565,-0.772107064724,-0.0,0.0,0.0,0.0,0.0
1565344089322055502,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344089430549877,-0.782965183258,-0.0,0.0,0.0,0.0,0.0
1565344089562655346,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344089668506857,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344089819110919,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344089856734200,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344089906923523,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344089956894304,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090007333679,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090118972950,-0.804681539536,-0.0,0.0,0.0,0.0,0.0
1565344090224906492,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090332015138,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090458902273,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090594886231,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090702785137,-0.815539717674,-0.0,0.0,0.0,0.0,0.0
1565344090846279408,-0.826365768909,-0.0,0.0,0.0,0.0,0.0
1565344090954379616,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091091184773,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091195046960,-0.826365768909,-0.0,0.0,0.0,0.0,0.0
1565344091299589512,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091348461752,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091399463783,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091513337585,-0.837223887444,-0.0,0.0,0.0,0.0,0.0
1565344091646591960,-0.86979842186,-0.0,0.0,0.0,0.0,0.0
1565344091797095970,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344091852540189,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344091894857741,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344091944915397,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344091995329199,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092045273835,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092107201126,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092155093991,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092201173106,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092249297637,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092296098470,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092346566074,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092396827012,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092446566022,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092497206908,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092547307793,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092597514407,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092647331803,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092697934824,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092748227532,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092798388470,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344092935201491,-0.435696691275,-0.0,0.0,0.0,0.0,0.0
1565344093039027845,-0.609330952168,-0.0,0.0,0.0,0.0,0.0
1565344093088523314,-0.609330952168,-0.0,0.0,0.0,0.0,0.0
1565344093141168782,-0.609330952168,-0.0,0.0,0.0,0.0,0.0
1565344093286719407,-0.75042283535,-0.0,0.0,0.0,0.0,0.0
1565344093392986491,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093440711126,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093491057428,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093543227324,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093591781126,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093642225293,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093692063990,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093743211230,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093792492376,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093887053730,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093894900344,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093943470969,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344093993050397,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344094043713782,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344094093653521,-1.0,-0.0,0.0,0.0,0.0,0.0
1565344094242895240,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094292767376,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094342512219,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094392738157,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094442819094,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094493955501,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094543442219,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094593459146,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094654612011,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094713796490,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094744281646,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094794341542,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094845301282,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094894839771,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094945931855,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344094995467636,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095045584823,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095095920448,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095145972479,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095199014042,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095246694354,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095296046438,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344095418951802,-0.0,-0.0,0.0,0.0,0.0,0.293823361397
1565344095522601386,-0.0,-0.0,0.0,0.0,0.0,0.402340769768
1565344095572961906,-0.0,-0.0,0.0,0.0,0.0,0.402340769768
1565344095691469771,-0.0,-0.0,0.0,0.0,0.0,0.424041032791
1565344095798193677,-0.0,-0.0,0.0,0.0,0.0,0.489157885313
1565344095905539979,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344095951021542,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344095999008156,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096049553000,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096110906229,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096186184771,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096199821958,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096250252219,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096300372219,-0.0,-0.0,0.0,0.0,0.0,0.5
1565344096451263729,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096501177323,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096553791125,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096601019614,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096651466802,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096701950760,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096751625187,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096802393625,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096852331489,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096902455500,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344096952791333,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344097107175500,0.294669061899,-0.0,0.0,0.0,0.0,0.0
1565344097199394614,0.403186440468,-0.0,0.0,0.0,0.0,0.0
1565344097248809718,0.403186440468,-0.0,0.0,0.0,0.0,0.0
1565344097395147947,0.62022125721,-0.0,0.0,0.0,0.0,0.0
1565344097498670968,0.826397895813,-0.0,0.0,0.0,0.0,0.0
1565344097548947062,0.826397895813,-0.0,0.0,0.0,0.0,0.0
1565344097599156281,0.826397895813,-0.0,0.0,0.0,0.0,0.0
1565344097649290447,0.826397895813,-0.0,0.0,0.0,0.0,0.0
1565344097770756020,1.0,-0.0,0.0,0.0,0.0,0.0
1565344097831699770,1.0,-0.0,0.0,0.0,0.0,0.0
