%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1565344933149692993,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933199609556,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933252276951,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933300085337,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933350671535,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933402113774,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933453297680,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933501062941,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933552054295,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933605015493,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933651435701,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933701976222,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933756279295,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933805156430,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933862613982,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933902182889,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344933952689399,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934002796899,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934054230389,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934102890649,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934152918461,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934204177889,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934253858826,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934307976951,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934354216378,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934404422368,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934454224034,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934504545909,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934554405649,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934605523461,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934654955545,-0.0,-0.0,0.0,0.0,0.0,0.0
1565344934704880701,-0.0,-0.0,0.0,0.0,0.0,0.0
